fileName,cameraAngle,medianLeafCount,maxLeafCount,leafAngle,stalkHeight,panicleExsertion
.,NaN,NaN,NaN,NaN,NaN,NaN
..,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-045-PI 658802_2018-02-07_03-13-49_6996600,Vis_SV_108,13,14,123.6134651,704,75
1-26-18_Sorghum_seed_915-046-PI 658803_2018-02-09_10-58-11_7048000,Vis_SV_108,11,14,62.84060477,703,102
1-26-18_Sorghum_seed_915-047-PI 658804_2018-02-07_01-45-12_6992900,Vis_SV_144,8,10,37.9445385,591,44
1-26-18_Sorghum_seed_915-048-PI 658805_2018-01-26_12-27-44_6695700,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-049-PI 658806_2018-01-26_10-36-42_6691900,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-049-PI 658806_2018-01-26_10-51-34_6692100,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-050-PI 658807_2018-02-05_01-49-44_6944900,Vis_SV_0,10,11,66.47186346,607,26
1-26-18_Sorghum_seed_915-051-PI 658808_2018-02-05_02-07-25_6945400,Vis_SV_108,11,11,51.61420588,596,11
1-26-18_Sorghum_seed_915-052-PI 658809_2018-02-07_02-38-43_6995200,Vis_SV_0,10,10,95.42323128,551,91
1-26-18_Sorghum_seed_915-053-PI 658810_2018-01-26_11-06-25_6692400,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-054-PI 658811_2018-01-26_01-37-32_6698500,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-055-PI 658812_2018-02-07_02-26-04_6994700,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-056-PI 658813_2018-02-07_02-17-12_6994300,Vis_SV_108,8,9,90.68981864,520,NaN
1-26-18_Sorghum_seed_915-057-PI 658814_2018-02-07_02-02-08_6993800,Vis_SV_72,8,14,63.10104624,716,NaN
1-26-18_Sorghum_seed_915-058-PI 658815_2018-02-07_02-16-22_6994200,Vis_SV_108,10,11,58.32975463,574,27
1-26-18_Sorghum_seed_915-059-PI 658816_2018-02-07_02-21-45_6994500,Vis_SV_72,12,14,121.6974517,339,NaN
1-26-18_Sorghum_seed_915-060-PI 658817_2018-01-26_02-24-51_6700600,Vis_SV_36,8,10,57.74833832,460,NaN
1-26-18_Sorghum_seed_915-062-PI 658819_2018-01-26_02-51-53_6701500,Vis_SV_0,6,9,140.2150877,380,67
1-26-18_Sorghum_seed_915-063-PI 658820_2018-02-09_10-08-20_7046000,Vis_SV_0,7,7,61.08974429,580,262
1-26-18_Sorghum_seed_915-064-PI 658821_2018-01-26_11-12-45_6692700,Vis_SV_108,4,6,92.25456269,154,72
1-26-18_Sorghum_seed_915-065-PI 658822_2018-01-29_03-05-47_6797100,Vis_SV_0,7,9,21.17309498,598,NaN
1-26-18_Sorghum_seed_915-066-PI 658823_2018-02-07_02-04-05_6993900,Vis_SV_0,11,12,75.39425658,557,22
1-26-18_Sorghum_seed_915-067-PI 658824_2018-02-07_02-41-14_6995300,Vis_SV_72,5,8,123.9261259,760,NaN
1-26-18_Sorghum_seed_915-068-PI 658825_2018-02-09_02-22-54_7055100,Vis_SV_0,8,8,124.4062565,806,NaN
1-26-18_Sorghum_seed_915-069-PI 658826_2018-01-26_11-10-16_6692600,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-070-PI 658827_2018-02-07_01-44-04_6992800,Vis_SV_0,8,9,27.56651023,724,NaN
1-26-18_Sorghum_seed_915-071-PI 658828_2018-02-05_02-14-39_6945800,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-072-PI 658829_2018-02-05_01-39-46_6944500,Vis_SV_0,7,13,69.71511812,538,37
1-26-18_Sorghum_seed_915-074-PI 658831_2018-01-26_11-55-14_6694400,NaN,NaN,NaN,NaN,NaN,NaN
